Sede,Carrera,Carné,Nombre,Correo,Teléfono,Mentor
CAMPUS TECNOLÓGICO CENTRAL CARTAGO,Ingeniería en Computación,2021017930,Zelma Griffin Dean,zgriffin@estudiantec.cr,70653420,False
CAMPUS TECNOLÓGICO CENTRAL CARTAGO,Gestión en Turismo Sostenible,2021012163,Gonzalo Shelly Green,gshelly@estudiantec.cr,78282889,False
CAMPUS TECNOLÓGICO CENTRAL CARTAGO,Gestión en Turismo Sostenible,2021013436,Debbie Smith Lee,dsmith@estudiantec.cr,72251820,False
CAMPUS TECNOLÓGICO CENTRAL CARTAGO,Administración de Tecnología de Información,2021018066,Robbie Horner Wigfall,rhorner@estudiantec.cr,81374407,False
CAMPUS TECNOLÓGICO CENTRAL CARTAGO,Ingeniería Ambiental,2021019892,Donovan Ramirez Mctigue,dramirez@estudiantec.cr,61904795,False
CAMPUS TECNOLÓGICO CENTRAL CARTAGO,Ingeniería en Electrónica,2021012955,Jeane Leyva Arnold,jleyva@estudiantec.cr,76997898,False
CAMPUS TECNOLÓGICO CENTRAL CARTAGO,Ingeniería en Producción Industrial,2021015501,Frank Sill Perkins,fsill@estudiantec.cr,73310217,False
CAMPUS TECNOLÓGICO CENTRAL CARTAGO,Ingeniería en Seguridad Laboral e Higiene Ambiental,2021017707,Henry Forgey Girgenti,hforgey@estudiantec.cr,75553379,False
CAMPUS TECNOLÓGICO CENTRAL CARTAGO,Ingeniería Forestal,2021014586,Joseph Metts Fleming,jmetts@estudiantec.cr,92023741,False
CAMPUS TECNOLÓGICO CENTRAL CARTAGO,Ingeniería Mecatrónica,2021014508,Barbara Rosas Perez,brosas@estudiantec.cr,80238672,False
CAMPUS TECNOLÓGICO LOCAL SAN CARLOS,Administración de Empresas,2021023449,Richard Walker Leatherwood,rwalker@estudiantec.cr,97575427,False
CAMPUS TECNOLÓGICO LOCAL SAN CARLOS,Administración de Empresas,2021022325,Jennifer Mckenzie Smith,jmckenzie@estudiantec.cr,72696585,False
CAMPUS TECNOLÓGICO LOCAL SAN CARLOS,Administración de Empresas,2021024930,Tommy Hagood Adams,thagood@estudiantec.cr,81845928,False
CAMPUS TECNOLÓGICO LOCAL SAN CARLOS,Ingeniería en Computación,2021028750,Paula Macias Reed,pmacias@estudiantec.cr,63540734,False
CAMPUS TECNOLÓGICO LOCAL SAN CARLOS,Gestión en Turismo Rural Sostenible,2021022813,Deborah Landry Koepsell,dlandry@estudiantec.cr,96357882,False
